1591758233	1702040039697	1000	0.05	1311	6300		4.32	-0.18	4.32	-2.36	8230	2381	73400	72400	84011	0.8617	99.5	727.64	0.13	0.63	0.64	78.7	4.45	0.45	4.47	5.77	7.74	0.995	-1	
1591758238	1702040019081	1000	0.05	1501	6300		3.80	- 0.137	3.80	- 2.07	6758	2381.4	65023	64023	77162.4	0.83	99.5	643.45	0.126	- 0.63			3.926	- 0.767	4.00	- 11.05	6.93	0.9814	-1	
1591758277	1502041051828	1000	0.05	1444	6300				4	-2.18	6336	2381.4	69312	68312	78029.4	0.8755	99.5	686.553			0.72	-60.75			4.42	-10.17	7.66	0.984	-1	Ayrıca Primer Hat Akım Büyüklüğü derecesi -10.17
1591758285	1502040362376	1000	0.05	1349	6300				4.285	-2.34	6656.4	2381.4	74829	73829	83866.83	0.88	99.5	742	20	-0.08			24.28	-0.25	24.28	-0.6	24.28	0.825	-1	
1591758353	1502040133676		0,05	1216	2100		1,58	0,05	1,58	-1,73	831,3	26,46	5763,8	4763,8	6681,5	71,3	99,5	47,87	0,098	-0,21			1,68	-0,26	1,7	351,2	0,56	0,98	1	
1591758354	1702510539014	1000	0.05	1386	6300		3.77	-0.136	3.77	-2.06	11938.836	2381.4	59097.2382	58097.2382	73417.4742	79	99.5	583.89	0.126	-0.63			3.896	-0.769	3.971	-11.16	6.87	0.981	-1	
1591758364	1702040505068	6	0.05	1311	6300		4.20	-0.16	4.21	-2.30	9670	2380	69700	68700	81750	0.84	99.5	690.4	0.126	0.63	0.642	78.69	4.326	0.47	4.35	6.20	4.35	0.99	1	MEVLÜT KADİR YILDIRIM
1591758426																													0	
1591758460	1402510123562		0.05	1.387	6300				16.12	-4.81	168.38	75.30	164.31	163.31	411.99	0.39	99.5	1641	520	0.36					535.5	-0.41		0.999	-1	
1591758473	1702510554498	1000	0.05	1349	6300				3.86	-2.10																			0	
1591758490	1702510138479	1000	0,05	1159 	3637		2,58	0,11	2,58	-2,44	1935	2,1822*10^-4	23144,302	22144,302	25079,30	0,882													0	Hocam bu sorumun yarısını yetiştiremedim
1591758508	1702040103394	1000	0.05	1197	6300		4.67	-0.21	4.68	-2.56	9658.9	2381.4	78651.5	77651.5	90691.8	0.856	99.5	780.47	0.126	-0.63	0.6424	-78.69	4.796	-0.84	4.87	-9.93	4.87	0.985	1	
1591758544	1702510158680	1000	0,05	1140	6300				4,53	-2,47	5,13x10^3	3,69x10^3	70,18 x10^3	69,18x10^3	79x10^3	0,88	99,5	0,7			0,0046	-81,17	4,53	-0,19	4,53	-2,47	7,79	0,999	-1	
1591758545	1702510424087	1000	0.05	1311	3637.31		12.8	-2.8																					0	
1591758554	1502510169977	1000	0,05	1406	6300		27,28		27,28	-15,06	497,868	2381	3139	3138	3639	0,86	99,5	31,537	0,126	-0,63			24,466	-7,72					0	
1591758573	1402040715057	950	0.05	1520	6300	0			3.829	-2.5	5453.52	2181.400	66855.259	66755.259	74490	0.89	99.5	671											0	
1591758616	1602040376270	950	0.05	1178	6300				4.83	-2.64	8678.4	0.378	82440	81440	91496.4	0.89													0	nr<ns olduğu için P en fazla 6 olabilir. 
1591758655	1502510356515	1000	0.05	1178	6300		15.73	-2.41	15.92	-8.72	47141	2381.40	895680	894680	945202.4		99.5	8992	0.126	-0.63			15.856	-3.04	16.14	-4.52		0.996	-1	
1591758707	13025109559141	1000	0,05	1292	6300		4,193	-0,167	4,196	-2,280	10986,40	2381,4	68242,46	67242,46	81610,26	0,823	99,43	676,25	0,126	-0,63	0,642	-78,69	4,318	-0,796	4,390	-10,444	7,603	0,983	1	
1591758736	1702040261901	1000	0,05	19	6300	0			10,7451	-1787	57,844	6,92	6581,0589	5581,0589	64425		99,5	56											0	
1591758854	1702040317962	1000	0.05	1406	6300		3.98	-0.15	3.982	-2.17	8324.6	2381.4	66882	65882	77588	85	99.5	0.662			0.642	78.69	4.106	0.780	4.18	-10.75		0.98	-1	
1591758867	1702040496049	1000	0.05	1482	6300				3.77	-2	8101	2381.4	63190.6	62190.6	73670	0.844	99.48	0.6252	1.26	-6.3									0	
1591758924	170204077-4172																												0	Hocam sınav esnasında 3. soruyu tam yapmadığımdan pdf olarak göndermemiştim. Karşılaştıracağınız için o değerleri girmedim
1591758969	1402511001848	1000	0,05	1216	6300		4,407	-0,185	4,41	-2,40	12310	0,378	70946	69946	83634	0,83	99,5	703	126	-130	642	-78			643	-78,30	1114	0,202	-1	
1591758975	1602510556818	1000	0.05	1482	6300				3.635	-1.984	9910	2380	58750	57750	71040	0.813	99.43	580.83	0	0	0	0	0	0	0	0	6.635	0	0	
1591758986	1602510912254	1000	0.05	1330	6300		3.979	-0.151	3.982	-2.173	11.94	2381.4	63.267	62.267	2456.607	0.02535	99.433	626.22	126	-630			129.979	-630.151	643.417	-78.345	78.345	0.202	-1	
1591759003	1402040471294	6	0.05	1501	6300				3.87	-2.11	5481.5454		17426.61																0	
1591759025	1602510233568	1000	0.05	1330	6300		4.02	0.15	4.02	2.20	2834.1	2381.4	16040	15040	18874	79	99.5	0.15	0.126	-0.63			4.15	-0.48	4.18	-6.60	7.24	0.993	-1	
1591759044	1702040534081	1000	0.05	1.235	6300				4.																				0	
1591759058	1402511001848	1000	0,05	1216	6300		4,407	-0,185	4,41	-2,40	12310	378	70946	69946	83634	0,83	99,5	703	126	-130	642	-78			643	-78,30	1114	0,202	-1	Hocam sınav anında mikro siemensler benim bilğisayarımda  mili siemens olarak gözüktüğü için gc ile bm mili siemens alınarak çözüm yapıldı. İlğinize arz ederim
1591759113	1702510541130	1000	0.05	1387	6300		3.77	-0.135	3.77	-2.058	12024	2381	59139	58139	73544	0.79	99.48	584			-0.504		3.203	-0.765	3.3	-13.43	5.715	0.972	-1	
1591759126	1402510696003	1000	0,05	1311	6300	0	4,11	-0,10	4,12	-1,42	10744,22	0,378																	0	hocam bu 3.soru
1591759127	1602510208964		0.05	1216	6300				4.36	-2.38	12945	2381	69347	68347	84673	0.81	99.5	686.9			0.64	-78.69			4.54	-10.28		0.984	-1	
1591759137	1702510781105	1000	0.05	1444	6300		3.60	-0.123	3.60	-1.95	3294	2381400	56142.72	55142.72	2440836.72	22	99.5	554.1	1442.7	-630			1446.3	-630	1577.5	-23.53	2732.3		0	
1591759139	1702040692396	1000	0.05	1330	6300		4.1274	0.1625				2381.4					99.5												0	
1591759166																													0	
1591759178	1702510944990 	1000	0.05	1482	6300		3.51	-0.12	3.51	-1.92	11457.69	2381.4	54775.2	53775.2	68614.29	0.78	99.48	540.56	0.126	-0.63	0.64	-78.69	3.64	-0.75	3.71	-11.65	6.43	0.98	-1	
1591759179	1702510759521	1000	0.05	1349	6300		3.82	-0.139	3.82	-2.08	13001.82	2381.4	59055.44	58055.44	74438.66	0.78	99.48	583.58	0.126	-0.63	0.64	-78.69	3.946	-0.769	4.02	-11.02	6.96	0.9815	-1	
1591759187	1702040569313	1000	0.05	1463	6300		3.78	-0.137	3.79	-2.07	8402	2380	63040	62040	73820	0.8404	99.43	623.96	0.126	-0.63			3.906	-0.767	3.98	-11.11	6.89	0.981	-1	
1591759249	1702510803259	1000	0.05	1178	6300				4.28	-2.34	16101.87	0.378	64737.23	63737.23	80845.48														0	
1591759328	1702040534081	1000	0.05	1.235	6300				4.45	-2.43	10700	2400	73370	72370	86470	83.7	99.5	727.4	0.216	-0.63					8.04	10.16	8.04	0.984	-1	
1591759330	1502510716563	1000	0.05	1330	6300				4.495	-2.45	1414	793800	26872	25872	822086	0.31	99.5	2600											0	Sınav kağıdımda olan ve alıp kullandığım değerler : 50Hz 6300V 950devir/dakika üçgen bağlı, R1=153ohm R2'= 70ohm X1=X2'=30 ohm , Gc=20uS , Bm = 100uS, sürtünme kaybı 1000W. Bana özel verilen bu değerler ile hesap makinesinde tüm adımları göstererek gitmeye çalıştım. Lütfen son giriş yapmadan siz de kontrol edin hocam. Teşekkürler.
1591759357	1402510919173	1000	0,05	1292	6300				2,41	-2,28	3728,8	2381,4	22512,2	21512,2	28622,4	0,752	99,5	216,20			0,642	,78,69			2,63	-16,04		0,961	1	
1591759428	1602040531955	1000	0.05	1444	6300		3.96	-0.15	3.96	-2.16	6780	200	17150	16100	24000	0.670	99.5	0.1618											0	Güç değerlerini sınav kağıdımda KW cinsinden yazdım ancak bu formda W olarak istenmiş bende ona göre çevrimlerini yaptım.
1591759449	1402040895787	1000	0.05	1330	6300		4.356	-3.155	4.356	-0.0415	6546.28	2381.4	75709.2	74709.2	84636.8	0.8827	99.5	750.846	282.2	-630.6					692.8	-1.14			0	
1591759591	1702040621706	1000	0.05	1330	6300		4.14	-0.16	4.14	-2.26	9820.99	2381.4	68387.004	67387.004	80589.394	0.836	99.5	677.3	0.13	-6.29	6.301	-88.85	4.27	-6.45	7.74	-56.5	13.41	0.552	-1	
1591759593	3058	1000	0.05	1178	6300				4.43	-2.42	14130	12000	69350	68350	97480	70	995.5	687	0.126	-0.63			4.546	-0.81	4.617	-10.10	2.665	cos 10.10	-1	
1591759655	1702510308748	950	0.05	1368																									0	
1591759669	1702040251494	1000	0.05	1463	6300		3.85	-0.15	3.85	-2.10	2560	800	21680	20680	25040	0.82	99.5	209	604.78	630	873.306	46.17	608.63	629.85	875.86	45.98		0.695	1	
1591759708	1702510367836	1000	0.05	1349	6300				3.88	-2.11	12284.4	793.8	60925	59925	74003	80.9	99.4	602.3			0.642474	-78.69			4.522	-80.8	7.832		0	
1591759739	16025106391	1000	0,05	1,406	3637,3				15,09	-13,53		36700 	9605 	8605			99,5												0	Cevap kağıdında KW olarak almıştım.
1591759743	1702510705321	1000	0.05	1482	6300		3.528	-0.11	3.53	-1.92	11214.81	2381.4	55401.16	54401.16	68997.37	0.788	99.5	54.67	0.126	-0.63			3.654	-0.74	3.72	-11.44		0.98	-1	
1591759870	1602510362130	1000	0,05	1299	6300	0																							0	
1591759880	1702510059203	1000	0.05	124,7	6300	0	15,87	-2.45	16,06	-8,79	203500	238100	96480	95480	538000	17	99,5	959,5	115,92	-63			131,79	-65,45				0,89	-1	
1591759915	1602510639163	1000	0,05	1,406	3637,3				15,09	-13,53		36700	9605	8605			99,5												0	Cevap kağıdında kW olarak almıştım.
1591759923																													0	
1591759937	1702040049116	1000	0,05	1178	6300				4,77	-2,60	9624,47	2381,4	80408,74	79408,74	92414,61	85,92	99,48	798,23			642,474	-78,7			643,61	-78,28	1114,76	0,203	-1	
1591759975	1702510574155	1500	0.36666	127.821	6300				15.066	-8.25	12926	119.07	5777.25	4777.25	18822.32	0.2538	99.483	48.02	0.126	-0.63			15.036	-2.791	15.292	-10.51	26.4865	0.98322	-1	
1591760025	1702510692197	1000	0.05	1406	3637.30		2.13	-0.07	2.13	-2.02	4015.15	79379.70	19136.64	18136.64	102530.49	0.176	99.5	182.27	72.74	-363.73			74.87	-363.8	371.42	-78.37	129.67	0.20	-1	Hocam sınav kağıdımda I2' değerinin açısını -2.02 olarak almışım ancak hesaplanan değer -1.88 çıkıyor. Arada 0.14 hesaplama hatası var, lütfen mazur görünüz, eğer sorun teşkil ediyor ise de zaten gereğini yaparak puanımı kırabilirsiniz. Hatamı yinede size belirtmek istedim, iyi çalışmalar hocam.
1591760061	1702040077413	1000	0.05	1.159	6300	0	4.82	0.22	4.83	2.64	9938.11	2381.4	81118.41	80118.41	93437.9	0.8575	99.43	805.77	0.126	-0.63			4.96	-0.41	4.96	-0.0353	7.787	0.99	-1	
1591760124	1702510674365	1000	0,05	1235	6300		4,14	0,16	4,14	(-2,26)	14603	2381,4	63502	62502	80486,4	77,65	99,5	628	0,126	0,63	0,64	(-78,7)	4,25	0,78	4,33	(-10,5)	7,5	0,98	-1	
1591760166	1602510159613	1000		79	6300				36.2	-0.03	951.11k	2.38k	311.77k	639.34k	1265.26k		89.53	71.4											0	
1591760185	1402511012284	950	0.05	1330	6300				4.238	-2.31	13362.7	2381.4	66544.2	65544.2	82288.3	79.65	99.5	658.73	0.126	-0.63					4.571	-9.69	7.91	0.985	-1	
1591760244	1702040291911	1000	0.05	1292	6300				4.31	-2.35	9306	2400	72000	71000	83700	84.82	99.5	713.5	0.126	-0.63			4.426	-0.8			7.77	0.98	-1	
1591760270	1702040155291	1000	0.05	1482	6300		3.81	-0.139	3.82	-2.08	7267	2381	64800	63800	74500	85.6	99.5	642	0.127	-0.630	0.642	-78.6	3.94	-0.770	4.01	-11.0		0.982	-1	
1591760293	1702510095176	1000	0.05	1349	6300		3.92	-0.147	3.92	-2.13	11847	0.0093	62187	61187	73034	0.837	99.4	615.56	0.008	-0.4	0.04	-78.69	3.928	-147.4	147.45	-88.4	147.45	0.0279	-1	
1591760329	1602040677721	1000	0.05	1159	6300		4.874	0.22	4.88	-2.665	9287.6	2381.4	82802	81802	94471	0.86	99.5	822.13			0.642	-78.68	5	0.41	5.016	4.68	8.687	0.99	1	
1591760389	1702510015202	950	0.05	1235	6300				3.94	-2.15	11549.5	2381.4	57514	56514	71444	80	99.5	567.9			0.126	-0.63	4454	-0.77	4571	-9.69	7.91	0.985	-1	
